SaleMonth,SaleYear,SalePrice,Sqft,Bed,Bath
1,2006,250000,2064,4,2.5
1,2006,401179,2795,4,3.5
1,2006,145000,1056,3,1.0
1,2006,181000,1309,3,1.5
1,2006,172400,1664,3,2.5
1,2006,252000,1964,3,2.5
1,2006,423000,2097,1,1.5
1,2006,139500,1142,3,1.5
1,2006,120875,1024,3,1.5
1,2006,260000,2646,3,2.0
1,2006,136500,1050,3,1.0
1,2006,139500,1008,2,1.0
1,2006,105000,1214,3,1.0
1,2006,80000,879,2,1.0
1,2006,155000,1803,3,2.0
1,2006,260000,1734,3,2.0
1,2006,205000,1541,3,2.0
1,2006,228000,1707,2,2.5
2,2006,170000,1671,3,2.5
2,2006,229000,2183,4,2.5
2,2006,179900,1552,3,2.5
2,2006,279000,1914,3,2.5
2,2006,170440,1456,3,2.5
2,2006,173000,1671,3,2.5
2,2006,230000,2291,4,2.5
2,2006,286000,1976,3,2.5
2,2006,200825,1716,3,2.5
2,2006,148000,1370,3,1.0
2,2006,80000,1760,4,1.5
2,2006,105000,864,3,1.0
2,2006,110000,1324,3,1.0
2,2006,154500,1068,3,1.0
2,2006,183600,1208,2,2.0
2,2006,220000,1915,3,2.5
2,2006,192500,1776,3,2.5
2,2006,230000,1654,3,2.0
2,2006,229000,2314,3,2.5
2,2006,35000,498,1,1.0
2,2006,140000,1717,3,1.0
2,2006,194000,1717,2,1.5
2,2006,218000,1671,4,2.0
2,2006,375000,1778,2,2.0
3,2006,192100,1851,3,2.0
3,2006,320000,2462,4,2.5
3,2006,457347,2798,3,3.5
3,2006,235000,2263,3,2.5
3,2006,162900,1664,4,2.5
3,2006,138800,1096,3,1.0
3,2006,97500,874,3,1.0
3,2006,326000,1850,3,2.0
3,2006,275500,2098,3,2.5
3,2006,372397,1792,2,2.0
3,2006,282500,1565,2,2.0
3,2006,202665,1368,2,2.0
3,2006,171750,1405,2,2.0
3,2006,167240,1248,2,2.0
3,2006,405000,2855,4,2.5
3,2006,186500,1553,3,2.5
3,2006,132000,1131,3,1.5
3,2006,142500,1141,3,1.5
3,2006,184900,1585,3,2.5
3,2006,144000,1211,2,1.0
3,2006,183900,1452,3,2.5
3,2006,124400,1051,3,1.0
3,2006,160000,1251,3,1.0
3,2006,140000,1095,2,1.0
3,2006,121000,936,2,1.0
3,2006,235000,3112,4,2.0
3,2006,143000,1144,3,1.0
3,2006,132000,1364,3,1.5
3,2006,86900,720,1,1.0
3,2006,120000,1045,3,1.0
3,2006,124000,1025,3,1.0
3,2006,96900,1376,2,1.0
3,2006,125000,1200,4,1.0
3,2006,52500,693,2,1.0
3,2006,90000,984,3,1.0
3,2006,149500,1400,3,1.5
3,2006,128000,1150,3,1.0
3,2006,137000,1057,3,1.0
3,2006,225000,1614,3,2.0
3,2006,119900,864,3,1.0
3,2006,207000,1390,3,2.0
3,2006,195800,1611,3,2.5
3,2006,104900,1221,4,1.0
3,2006,118500,2230,5,1.0
3,2006,217500,1647,3,2.0
3,2006,85000,641,2,1.0
3,2006,250764,1650,2,1.0
3,2006,369900,2028,2,2.0
3,2006,153500,1337,2,2.0
3,2006,146500,1652,4,2.0
3,2006,142500,1003,3,1.0
4,2006,91500,1218,3,1.5
4,2006,137500,1055,2,2.0
4,2006,437154,2728,4,2.5
4,2006,213490,1506,2,2.0
4,2006,215000,1889,3,2.5
4,2006,232000,1616,3,2.0
4,2006,176000,1266,3,2.0
4,2006,184000,1686,3,2.5
4,2006,124000,912,3,1.0
4,2006,260000,2417,4,2.5
4,2006,197000,1247,1,1.5
4,2006,144152,1200,2,2.5
4,2006,165000,1382,3,2.5
4,2006,270000,1494,2,1.5
4,2006,164500,1334,3,2.0
4,2006,167000,1488,3,1.5
4,2006,145250,1383,3,1.5
4,2006,155500,1595,3,2.0
4,2006,170000,1466,3,2.0
4,2006,111500,1951,4,2.0
4,2006,137000,1928,4,2.0
4,2006,79000,1440,3,1.0
4,2006,100000,788,2,1.0
4,2006,115000,1344,3,1.0
4,2006,105000,872,2,1.0
4,2006,164000,1000,1,1.0
4,2006,148400,1700,2,2.5
4,2006,135000,1488,3,1.0
4,2006,93000,1124,3,1.0
4,2006,224500,1440,2,2.0
4,2006,204900,1498,2,2.0
4,2006,174000,1282,3,2.0
4,2006,133000,848,1,1.0
4,2006,102000,1220,2,1.0
4,2006,117250,914,2,1.0
4,2006,130000,1709,3,2.0
4,2006,137500,1709,3,2.0
4,2006,130000,1708,3,2.0
4,2006,97900,936,3,1.0
4,2006,115000,864,2,1.0
4,2006,106500,951,2,1.0
4,2006,139000,1638,4,2.0
4,2006,78000,936,2,1.0
4,2006,335000,2519,4,2.5
4,2006,250000,2514,4,2.5
4,2006,73000,630,1,1.0
4,2006,71000,1092,3,1.5
4,2006,170000,1389,2,1.0
5,2006,149900,1293,2,2.0
5,2006,183500,1525,3,2.5
5,2006,202000,1776,3,2.5
5,2006,309000,2212,3,2.5
5,2006,165600,1501,3,2.5
5,2006,169000,2320,2,2.0
5,2006,202500,1621,3,2.0
5,2006,207500,1686,3,2.0
5,2006,118000,1218,3,1.5
5,2006,338500,2091,3,2.5
5,2006,172785,1456,3,2.5
5,2006,215000,1456,2,2.0
5,2006,246990,1511,2,2.0
5,2006,178740,1414,2,2.0
5,2006,584500,3500,4,3.5
5,2006,290000,1660,3,2.0
5,2006,185000,1262,2,2.0
5,2006,158000,1158,3,1.5
5,2006,176400,1143,1,1.5
5,2006,214000,1235,1,1.0
5,2006,179900,1416,3,2.5
5,2006,151500,1248,3,1.0
5,2006,137000,1043,2,1.0
5,2006,135000,1216,3,1.0
5,2006,226000,2157,4,2.5
5,2006,132500,1190,3,1.0
5,2006,141000,1092,2,1.0
5,2006,153000,1124,3,1.0
